FID,CID,x,y,lslpts
55,0,2658340.830920000094920,1138138.460209999931976,0
56,0,2656469.389899999834597,1140014.038660000078380,0
57,0,2660509.067960000131279,1138902.325999999884516,0
58,0,2661181.401759999804199,1140627.496109999949113,0
59,0,2662058.026209999807179,1141337.648310000076890,0
60,0,2661283.389580000191927,1140174.543390000006184,0
61,0,2660462.936379999853671,1140290.782420000061393,0
62,0,2659367.131740000098944,1138275.939879999961704,0
63,0,2657326.491580000147223,1139391.840890000108629,0
64,0,2657845.775059999898076,1137660.643970000091940,0
65,0,2662364.319250000175089,1141544.749280000105500,0
66,0,2657289.151860000099987,1138983.231069999979809,0
67,0,2657605.313709999900311,1138359.661270000040531,0
68,0,2659599.821399999782443,1138483.214870000025257,0
69,0,2657050.627150000073016,1137462.649250000016764,0
70,0,2660853.502739999908954,1139950.680729999905452,0
71,0,2659681.965650000143796,1138658.617689999984577,0
72,0,2657681.626079999841750,1138626.099129999987781,0
73,0,2660968.002230000216514,1140456.870219999924302,0
74,0,2656817.718230000231415,1137888.097839999943972,0
75,0,2662497.835419999901205,1141276.987939999904484,0
76,0,2657159.151899999938905,1137295.966160000069067,0
77,0,2660938.291319999843836,1139512.890279999934137,0
78,0,2657312.721539999824017,1138248.443780000088736,0
79,0,2661718.011429999954998,1140686.286390000022948,0
80,0,2659284.372870000079274,1139416.186250000027940,0
81,0,2661039.304959999863058,1139351.896320000058040,0
82,0,2657508.713200000114739,1137445.671080000000075,0
83,0,2661054.623319999780506,1140301.298849999904633,0
84,0,2657813.865329999942333,1138518.769890000112355,0
85,0,2659795.136799999978393,1139314.715490000089630,0
86,0,2659874.935990000143647,1138569.476809999905527,0
87,0,2657438.219510000199080,1138173.360949999885634,0
88,0,2658280.263269999995828,1139610.913189999992028,0
89,0,2658391.370990000199527,1138901.488300000084564,0
90,0,2657558.804270000196993,1137704.076660000020638,0
91,0,2657446.709689999930561,1138783.942070000106469,0
92,0,2662669.838099999818951,1141328.685019999975339,0
93,0,2657671.492690000217408,1137587.480079999892041,0
94,0,2661251.259440000168979,1139653.262409999966621,0
95,0,2659618.174829999916255,1139780.932109999936074,0
96,0,2657710.475430000107735,1138708.561870000092313,0
97,0,2658732.480570000130683,1138005.654970000032336,0
98,0,2659243.947009999770671,1139342.463040000060573,0
99,0,2657923.383899999782443,1137991.064340000040829,0
100,0,2659494.601650000084192,1139102.337490000063553,0
101,0,2658086.296910000033677,1137773.964159999974072,0
102,0,2659437.472620000131428,1138185.602780000073835,0
103,0,2658418.782970000058413,1137808.469210000010207,0
104,0,2657957.722109999973327,1137415.215970000019297,0
105,0,2657681.184830000158399,1137677.259409999940544,0
106,0,2659071.998639999888837,1139684.929079999914393,0
107,0,2658482.134420000016689,1137518.515219999942929,0
108,0,2659090.403210000135005,1139135.745589999947697,0
109,0,2658433.983200000133365,1138825.728559999959543,0
110,0,2658359.333240000065416,1137661.245510000037029,0
111,0,2659325.035629999823868,1139206.063000000081956,0
112,0,2661825.230330000165850,1141274.456650000065565,0
113,0,2657707.451160000171512,1137337.271979999961331,0
114,0,2658687.764229999855161,1139098.357629999984056,0
115,0,2661334.839749999810010,1140175.049200000008568,0
116,0,2658001.564730000216514,1138887.150609999895096,0
117,0,2657674.279500000178814,1138541.344499999890104,0
118,0,2661761.830360000021756,1140758.356300000101328,0
119,0,2659283.010350000113249,1139240.108809999888763,0
120,0,2660449.097550000064075,1138962.254369999980554,0
121,0,2658651.498579999897629,1137562.515769999939948,0
122,0,2658870.489289999939501,1138141.692629999946803,0
123,0,2660463.422499999869615,1139885.108699999982491,0
124,0,2660191.579299999866635,1138727.886200000066310,0
125,0,2657526.280470000114292,1139324.961230000015348,0
126,0,2657911.682219999842346,1138043.618569999933243,0
127,0,2658177.391410000156611,1138630.731039999984205,0
128,0,2662358.273419999983162,1141544.912990000098944,0
129,0,2658037.439149999991059,1137574.565320000052452,0
130,0,2658252.544029999990016,1139518.680560000007972,0
131,0,2661216.334499999880791,1139436.370880000060424,0
132,0,2659104.053270000033081,1138411.596249999944121,0
133,0,2658521.392880000174046,1139797.002030000090599,0
134,0,2658478.431069999933243,1138122.268669999903068,0
135,0,2661925.029660000000149,1140066.968989999964833,0
136,0,2657350.497709999792278,1139406.765720000024885,0
137,0,2658422.679200000129640,1139617.921109999995679,0
138,0,2658197.796019999776036,1138994.270030000014231,0
139,0,2656714.995709999930114,1140001.315810000058264,0
140,0,2660938.775109999813139,1139894.618430000031367,0
141,0,2662582.296779999975115,1141200.371779999928549,0
142,0,2657769.973489999771118,1138639.132770000025630,0
143,0,2661044.903070000000298,1139487.916459999978542,0
144,0,2661634.392909999936819,1140610.819469999987632,0
145,0,2660449.768149999901652,1138984.091530000092462,0
146,0,2659471.130849999841303,1138752.028040000004694,0
147,0,2660496.763019999954849,1140027.217650000005960,0
148,0,2660414.923729999922216,1140141.692449999973178,0
149,0,2662119.592050000093877,1141159.603379999985918,0
150,0,2658372.181820000056177,1137506.495790000073612,0
151,0,2660487.775249999947846,1139748.045579999918118,0
152,0,2657792.749880000017583,1138053.919840000104159,0
153,0,2659111.247690000105649,1138640.805880000116304,0
154,0,2656743.528440000023693,1139775.282570000039414,0
155,0,2660004.592939999885857,1139924.714889999944717,0
156,0,2660536.764229999855161,1140609.720489999977872,0
157,0,2659306.796999999787658,1139308.302290000021458,0
158,0,2662594.388249999843538,1141426.155689999926835,0
159,0,2657989.263410000130534,1138825.910609999904409,0
160,0,2658577.232429999858141,1138681.110649999929592,0
161,0,2659701.600120000075549,1138906.127390000037849,0
162,0,2658431.823749999981374,1137790.509219999890774,0
163,0,2659641.274550000205636,1138168.184129999950528,0
164,0,2658912.301109999883920,1137824.169699999969453,0
165,0,2660305.060500000137836,1139522.864019999979064,0
166,0,2658367.378080000169575,1138282.219659999944270,0
167,0,2659592.970269999932498,1139481.242599999997765,0
168,0,2657596.972800000105053,1139272.059600000036880,0
169,0,2658629.621379999909550,1137626.586910000070930,0
170,0,2657688.576260000001639,1139300.562750000040978,0
171,0,2660337.113779999781400,1138852.723740000044927,0
172,0,2658833.606480000074953,1138597.117899999953806,0
173,0,2658517.878880000207573,1137585.713489999994636,0
174,0,2657316.823030000086874,1139656.558100000023842,0
175,0,2661493.900859999936074,1139708.887349999975413,0
176,0,2661492.134080000221729,1140510.440179999917746,0
177,0,2657673.349679999984801,1137806.981429999927059,0
178,0,2657132.199899999890476,1137499.828530000057071,0
179,0,2659157.503459999803454,1139342.013899999903515,0
180,0,2661592.266420000232756,1141131.801310000009835,0
181,0,2657775.796699999831617,1137471.990400000009686,0
182,0,2656938.373709999956191,1139579.112050000112504,0
183,0,2657801.896949999965727,1139452.391629999969155,0
184,0,2661867.053799999877810,1140688.617360000032932,0
185,0,2659320.517510000150651,1139215.362639999948442,0
186,0,2657587.471189999952912,1138397.117379999952391,0
187,0,2658696.656109999865294,1138714.665190000087023,0
188,0,2657023.538449999876320,1137779.994279999984428,0
189,0,2659118.486320000141859,1139869.392460000002757,0
190,0,2662117.167979999911040,1141178.481069999979809,0
191,0,2659311.452049999963492,1139500.856050000060350,0
192,0,2660471.917690000031143,1139505.239039999898523,0
193,0,2657459.802850000094622,1137981.357970000011846,0
194,0,2658131.322999999858439,1138152.541990000056103,0
195,0,2658490.439780000131577,1138477.922040000092238,0
196,0,2656695.773779999930412,1140080.110460000112653,0
197,0,2662221.409049999900162,1141310.617229999974370,0
198,0,2658684.639469999819994,1138532.229310000082478,0
199,0,2661757.769429999869317,1141242.841950000030920,0
200,0,2658510.794009999837726,1137679.529039999935776,0
201,0,2656826.075650000013411,1139548.288140000076964,0
202,0,2660540.195869999937713,1139847.892130000051111,0
203,0,2659717.661340000107884,1139759.688970000017434,0
204,0,2657696.400289999786764,1139201.169549999991432,0
205,0,2659642.154949999880046,1139034.286039999919012,0
206,0,2660033.584079999942333,1138512.132280000019819,0
207,0,2658514.805060000158846,1138011.937559999991208,0
208,0,2657740.445799999870360,1137725.578639999963343,0
209,0,2660270.757799999788404,1139592.942590000107884,0
210,0,2657094.310829999856651,1139365.144229999976233,0
211,0,2659363.748350000008941,1138905.646620000014082,0
212,0,2658819.801889999769628,1138765.601239999989048,0
213,0,2659450.557959999889135,1138168.124970000004396,0
214,0,2662529.265029999893159,1141168.508489999920130,0
215,0,2660514.206710000056773,1140426.340210000053048,0
216,0,2658161.530429999809712,1139297.059240000089630,0
217,0,2658829.584220000077039,1139156.761299999896437,0
218,0,2660170.627669999841601,1139455.543190000113100,0
219,0,2657518.315950000192970,1139087.589820000110194,0
220,0,2660020.733640000224113,1139704.672650000080466,0
221,0,2660969.750260000117123,1139148.592290000058711,0
222,0,2658338.626999999862164,1138678.340570000000298,0
223,0,2657198.244680000003427,1139123.246909999987110,0
224,0,2660659.089370000176132,1140531.090330000035465,0
225,0,2659051.091029999777675,1139338.278299999888986,0
226,0,2659515.125399999786168,1139287.205189999891445,0
227,0,2657175.389849999919534,1138194.190420000115409,0
228,0,2660267.157939999829978,1138711.251549999928102,0
229,0,2660985.110390000045300,1139239.005529999965802,0
230,0,2658812.240009999834001,1137978.966569999931380,0
231,0,2660410.369349999818951,1139089.348909999942407,0
232,0,2661704.163300000131130,1140435.654090000083670,0
233,0,2658185.995579999871552,1137991.897309999912977,0
234,0,2657146.352260000072420,1138991.660350000020117,0
235,0,2659315.478949999902397,1139660.826919999904931,0
236,0,2658359.855829999782145,1138635.681679999921471,0
237,0,2657873.095079999882728,1138669.111869999906048,0
238,0,2657793.267039999831468,1138838.838019999908283,0
239,0,2660417.983159999828786,1138784.712770000100136,0
240,0,2656569.802500000223517,1139703.401989999925718,0
241,0,2662270.723240000195801,1141257.579149999888614,0
242,0,2661971.463260000105947,1140747.137030000099912,0
243,0,2656887.086149999871850,1139629.045189999975264,0
244,0,2658674.186619999818504,1138792.446960000088438,0
245,0,2662242.779060000088066,1141315.570730000035837,0
246,0,2661589.810949999839067,1139957.264440000057220,0
247,0,2658897.774530000053346,1139625.879630000097677,0
248,0,2661470.303119999822229,1139952.592149999924004,0
249,0,2658378.462669999804348,1139042.393290000036359,0
250,0,2657134.712809999939054,1139373.811960000079125,0
251,0,2658199.823929999954998,1137476.126919999951497,0
252,0,2658116.768740000203252,1139035.480780000099912,0
253,0,2658691.969459999818355,1138696.652549999998882,0
254,0,2659882.292690000031143,1138488.960789999924600,0
255,0,2657394.842230000067502,1138820.323480000020936,0
256,0,2658051.423349999822676,1137797.550590000115335,0
257,0,2661891.156070000026375,1140641.813460000092164,0
258,0,2661719.592689999844879,1140778.175569999963045,0
259,0,2659647.768550000153482,1138531.002150000073016,0
260,0,2661835.828410000074655,1139782.274660000111908,0
261,0,2660186.074260000139475,1140255.050259999930859,0
262,0,2658169.561540000140667,1138432.435820000013337,0
263,0,2661929.206410000100732,1139966.299589999951422,0
264,0,2656574.287550000008196,1139965.176690000109375,0
265,0,2660868.190719999838620,1139207.979109999956563,0
266,0,2660698.262180000077933,1139522.997380000073463,0
267,0,2662373.273229999933392,1141254.608400000026450,0
268,0,2660098.886469999793917,1139067.383429999928921,0
269,0,2661392.434030000120401,1140221.041479999898002,0
270,0,2658357.840749999973923,1137717.065070000011474,0
271,0,2659365.309909999836236,1139841.598260000115260,0
272,0,2658239.075410000048578,1137929.239479999989271,0
273,0,2657735.773269999772310,1138993.138899999903515,0
274,0,2657193.883839999791235,1139103.791459999978542,0
275,0,2659403.068609999958426,1138937.415060000028461,0
276,0,2659450.746329999994487,1138481.909049999900162,0
277,0,2658658.661489999853075,1138663.959349999902770,0
278,0,2662296.826979999896139,1141087.160470000002533,0
279,0,2660503.888400000054389,1139759.176290000090376,0
280,0,2661481.559880000073463,1140697.017870000097901,0
281,0,2661560.222930000163615,1140887.998330000089481,0
282,0,2661057.604050000198185,1140670.035679999971762,0
283,0,2660029.457950000185519,1139004.814610000001267,0
284,0,2658288.813289999961853,1139700.658439999911934,0
285,0,2657522.797660000156611,1137443.084980000043288,0
286,0,2659615.055889999959618,1139117.929280000040308,0
287,0,2657779.330970000009984,1137383.158499999903142,0
288,0,2657117.351189999841154,1137469.602350000059232,0
289,0,2661374.535649999976158,1139246.936010000063106,0
290,0,2657280.982210000045598,1139483.310880000004545,0
291,0,2659933.716880000196397,1138967.350289999973029,0
292,0,2662582.896199999842793,1141610.132519999984652,0
293,0,2660570.720819999929518,1139616.573899999959394,0
294,0,2660401.206079999916255,1139927.610229999991134,0
295,0,2658853.610009999945760,1139803.358729999978095,0
296,0,2657883.859879999887198,1138586.976740000071004,0
297,0,2659496.394869999960065,1138510.818250000011176,0
298,0,2657613.542929999995977,1138868.582819999894127,0
299,0,2657407.438060000073165,1138310.955079999985173,0
300,0,2660982.138919999822974,1140624.840150000061840,0
301,0,2657814.909239999949932,1138141.074060000013560,0
302,0,2659088.063490000087768,1139237.349099999992177,0
303,0,2661435.427800000179559,1140531.772330000065267,0
304,0,2657632.524040000047535,1138549.866380000021309,0
305,0,2659762.899670000188053,1138716.064079999923706,0
306,0,2659031.284140000119805,1138846.382239999948069,0
307,0,2659457.033950000070035,1139556.631629999959841,0
308,0,2658516.525369999930263,1139668.373170000035316,0
309,0,2662578.704189999960363,1140932.929590000072494,0
310,0,2660465.920979999937117,1139181.573210000060499,0
311,0,2658895.976580000016838,1137737.319159999955446,0
312,0,2660179.232220000121742,1139018.992649999912828,0
313,0,2659187.558050000108778,1138830.814280000049621,0
314,0,2658452.006399999838322,1137912.632429999997839,0
315,0,2656459.827349999919534,1140069.961889999918640,0
316,0,2662471.816300000064075,1141559.698600000003353,0
317,0,2657153.519700000062585,1138361.958360000047833,0
318,0,2657690.962079999968410,1138271.316439999965951,0
319,0,2659475.899019999895245,1139099.976969999959692,0
320,0,2660971.509060000069439,1139750.469280000077561,0
321,0,2660099.499909999780357,1139437.408909999998286,0
322,0,2657264.453999999910593,1139565.731149999890476,0
323,0,2661598.700499999802560,1139957.035760000115260,0
324,0,2659936.637130000162870,1139797.205109999980778,0
325,0,2660995.334290000144392,1140727.518940000096336,0
326,0,2659469.288310000207275,1138873.746229999931529,0
327,0,2660338.996100000105798,1138997.993960000108927,0
328,0,2658374.029200000222772,1138096.885639999993145,0
329,0,2656677.456869999878109,1139255.799360000062734,0
330,0,2656755.962499999906868,1139046.122690000105649,0
331,0,2657082.914410000201315,1139534.590959999943152,0
332,0,2658528.984259999822825,1139406.854409999912605,0
333,0,2659519.333279999904335,1138156.460930000059307,0
334,0,2657651.604309999849647,1137472.995540000032634,0
335,0,2660583.844020000193268,1139877.628259999910370,0
336,0,2658694.761229999829084,1138212.996150000020862,0
337,0,2658390.407180000096560,1137704.544299999950454,0
338,0,2658407.969849999994040,1139481.467260000063106,0
339,0,2657385.698059999849647,1139262.885190000059083,0
340,0,2659917.919249999802560,1140097.675820000004023,0
341,0,2656802.688300000037998,1139942.728469999972731,0
342,0,2658720.948439999949187,1138762.483530000085011,0
343,0,2659951.735749999992549,1139245.174750000005588,0
344,0,2661761.471580000128597,1141153.701700000092387,0
345,0,2656602.200530000030994,1139886.198550000088289,0
346,0,2660006.734999999869615,1140261.503370000049472,0
347,0,2657399.268360000103712,1137903.309750000014901,0
348,0,2661620.115809999871999,1140822.919629999902099,0
349,0,2658096.021610000170767,1138270.439010000089183,0
350,0,2659167.074849999975413,1138978.808889999985695,0
351,0,2658151.216490000020713,1139659.919269999954849,0
352,0,2660052.935930000152439,1138745.395359999965876,0
353,0,2661113.569139999803156,1139782.098359999945387,0
354,0,2660218.559669999871403,1139561.906449999893084,0
355,0,2658616.828970000147820,1139335.334849999984726,0
356,0,2658595.365040000062436,1139236.077049999963492,0
357,0,2659085.040289999917150,1139425.315209999913350,0
358,0,2660895.300739999860525,1140681.685860000085086,0
359,0,2656732.622640000190586,1139963.927129999967292,0
360,0,2658511.563829999882728,1138654.232030000071973,0
361,0,2658417.402770000044256,1139391.677469999995083,0
362,0,2657634.270120000001043,1137384.375000000000000,0
363,0,2658913.248089999891818,1139397.864180000033230,0
364,0,2660516.804570000153035,1139516.837390000000596,0
365,0,2657540.881610000040382,1138875.215769999893382,0
366,0,2659158.700590000022203,1138249.657249999931082,0
367,0,2661667.822939999867231,1139933.000500000081956,0
368,0,2658928.914659999776632,1139868.203669999958947,0
369,0,2662358.707200000062585,1141428.445009999908507,0
370,0,2661933.255700000096112,1139855.715039999922737,0
371,0,2659237.521879999898374,1139555.778930000029504,0
372,0,2659043.135079999919981,1139160.802309999940917,0
373,0,2661430.934489999897778,1140366.635460000019521,0
374,0,2657417.198650000151247,1138880.719070000108331,0
375,0,2658144.081139999907464,1138553.740719999885187,0
376,0,2662000.574870000127703,1140956.450190000003204,0
377,0,2656638.769900000188500,1139804.228750000009313,0
378,0,2659562.850680000148714,1139745.845359999919310,0
379,0,2660323.003020000178367,1139541.853790000081062,0
380,0,2658761.862519999966025,1139201.352200000081211,0
381,0,2659020.720060000196099,1139800.808350000064820,0
382,0,2660926.745159999933094,1139228.615169999888167,0
383,0,2661726.187359999865294,1140539.818359999917448,0
384,0,2658101.750510000158101,1138634.796550000086427,0
385,0,2657861.636990000028163,1139397.213689999887720,0
386,0,2661955.010139999911189,1140911.094689999939874,0
387,0,2660190.005989999976009,1140136.111730000004172,0
388,0,2661200.412169999908656,1139199.834449999965727,0
389,0,2660311.970540000125766,1139886.709389999974519,0
390,0,2658600.065849999897182,1137799.955730000045151,0
391,0,2661731.480440000072122,1140725.209120000014082,0
392,0,2657580.508930000010878,1139277.226400000043213,0
393,0,2659274.293029999826103,1139888.534290000097826,0
394,0,2658098.914460000116378,1138690.983419999945909,0
395,0,2656936.976950000040233,1139181.252679999917746,0
396,0,2661973.415140000171959,1141340.980320000089705,0
397,0,2661783.582520000170916,1141353.983190000057220,0
398,0,2658081.845840000081807,1138254.646419999888167,0
399,0,2657056.955800000112504,1137773.015180000104010,0
400,0,2657796.253630000166595,1139477.565149999922141,0
401,0,2660865.936720000114292,1139371.856270000105724,0
402,0,2660677.221380000002682,1139129.326150000095367,0
403,0,2659535.353209999855608,1138773.037199999904260,0
404,0,2660100.284119999967515,1139783.811870000092313,0
405,0,2660857.401620000135154,1138736.633290000027046,0
406,0,2659339.011039999779314,1139990.663329999893904,0
407,0,2661571.808339999988675,1140944.569330000085756,0
408,0,2660510.075879999902099,1139911.902380000101402,0
409,0,2657791.378440000116825,1139180.970459999982268,0
410,0,2657042.388259999919683,1138733.124430000083521,0
411,0,2660206.239440000150353,1139012.045480000087991,0
412,0,2658499.731500000227243,1139130.633510000072420,0
413,0,2658280.914150000084192,1138291.981080000055954,0
414,0,2659660.966899999883026,1139342.235129999928176,0
415,0,2657404.404560000170022,1138134.226800000062212,0
416,0,2660784.865830000024289,1139455.804900000104681,0
417,0,2659216.037200000137091,1139678.362759999930859,0
418,0,2656744.898819999769330,1139681.246389999985695,0
419,0,2659187.014059999957681,1139079.677730000112206,0
420,0,2659391.024399999994785,1138981.310490000061691,0
421,0,2657351.166559999808669,1139567.495219999924302,0
422,0,2657230.039439999964088,1139573.165389999980107,0
423,0,2657922.269059999845922,1139430.981739999959245,0
424,0,2662683.757459999993443,1141033.545829999959096,0
425,0,2658870.737889999989420,1139065.297699999995530,0
426,0,2661260.282370000146329,1140356.587270000018179,0
427,0,2659182.392659999895841,1139988.014539999887347,0
428,0,2659715.831089999992400,1138840.456779999891296,0
429,0,2660126.487180000171065,1139620.897189999930561,0
430,0,2662172.921930000185966,1141092.928850000025705,0
431,0,2661911.996799999848008,1140114.997599999886006,0
432,0,2661006.643850000109524,1140545.528329999884591,0
433,0,2661185.240749999880791,1139638.673480000114068,0
434,0,2657410.104609999805689,1139054.596170000033453,0
435,0,2661004.329080000054091,1139204.915030000032857,0
436,0,2657374.532730000093579,1138902.648749999934807,0
437,0,2656516.877429999876767,1139765.610570000018924,0
438,0,2658330.751579999923706,1138790.165280000073835,0
439,0,2658368.448830000124872,1139450.542709999950603,0
440,0,2658460.515319999773055,1139789.872609999962151,0
441,0,2660633.290380000136793,1139928.338729999959469,0
442,0,2658543.985770000144839,1138551.328720000106841,0
443,0,2658528.046699999831617,1139855.356399999931455,0
444,0,2656793.554469999857247,1139203.189490000018850,0
445,0,2660164.025450000073761,1138750.603690000018105,0
446,0,2662431.664179999846965,1141147.596399999922141,0
447,0,2662442.490189999807626,1141347.204339999938384,0
448,0,2661698.943030000198632,1140296.236389999976382,0
449,0,2658676.007739999797195,1138889.952259999932721,0
450,0,2657872.037860000040382,1138966.163549999939278,0
451,0,2660021.519570000004023,1140006.325130000011995,0
452,0,2658944.002100000157952,1138667.398199999937788,0
453,0,2657126.183739999774843,1137573.569039999973029,0
454,0,2662246.360040000174195,1141288.367439999943599,0
455,0,2657351.462239999789745,1139015.513409999897704,0
456,0,2658639.673349999822676,1138735.241699999896809,0
457,0,2658317.493090000003576,1138905.195019999984652,0
458,0,2659474.073820000048727,1138568.367540000006557,0
459,0,2658519.968080000020564,1137688.793950000079349,0
460,0,2658356.085229999851435,1139576.965580000076443,0
461,0,2656710.188109999988228,1140079.649010000051931,0
462,0,2658698.002020000014454,1139527.987260000081733,0
463,0,2658722.764309999998659,1139522.380790000082925,0
464,0,2658909.233700000215322,1137966.723969999933615,0
465,0,2660688.157300000078976,1139277.645100000081584,0
466,0,2657210.745209999848157,1138179.259400000097230,0
467,0,2659130.836180000100285,1139988.502279999898747,0
468,0,2659427.080740000121295,1139393.421869999961928,0
469,0,2658883.940870000049472,1139326.537370000034571,0
470,0,2660257.272319999989122,1139484.999760000035167,0
471,0,2657524.144909999798983,1138685.259370000101626,0
472,0,2660463.083449999801815,1140327.951529999962077,0
473,0,2661697.831209999974817,1141238.635340000037104,0
474,0,2661439.274910000152886,1139055.315799999982119,0
475,0,2657204.968239999841899,1139151.673029999947175,0
476,0,2657158.188540000002831,1139702.439019999932498,0
477,0,2658991.260199999902397,1138926.013120000017807,0
478,0,2659163.960320000071079,1139593.301040000049397,0
479,0,2657024.716210000216961,1137989.595969999907538,0
480,0,2658814.757960000075400,1137628.959819999989122,0
481,0,2657967.539340000133961,1137456.226680000079796,0
482,0,2659473.608250000048429,1139138.058110000099987,0
483,0,2658816.893219999969006,1137754.646560000022873,0
484,0,2656739.402360000181943,1139190.873690000036731,0
485,0,2659973.384740000125021,1140035.364349999930710,0
486,0,2659138.078699999954551,1138973.798440000042319,0
487,0,2660150.074469999875873,1139814.323219999903813,0
488,0,2657538.827630000188947,1138943.705219999887049,0
489,0,2657269.151579999830574,1139369.983179999981076,0
490,0,2658597.692340000066906,1139492.989169999957085,0
491,0,2661925.552649999968708,1140858.817090000025928,0
492,0,2657168.515509999822825,1137346.895470000104979,0
493,0,2661697.007799999788404,1140791.762719999998808,0
494,0,2658910.910269999876618,1137802.883140000049025,0
495,0,2660024.444759999867529,1138654.581490000011399,0
496,0,2658642.894049999769777,1137775.213310000021011,0
497,0,2661458.145380000118166,1139326.976740000071004,0
498,0,2660725.938370000105351,1139539.344000000040978,0
499,0,2657812.555240000132471,1139358.129750000080094,0
500,0,2660777.700300000142306,1138649.876110000070184,0
501,0,2658242.790570000186563,1138652.643759999889880,0
502,0,2659001.232160000130534,1138149.308639999944717,0
503,0,2657953.957770000211895,1139058.252420000033453,0
504,0,2662562.767580000218004,1141152.239079999970272,0
505,0,2658096.795340000186116,1137936.652190000051633,0
506,0,2657431.491539999842644,1139293.204260000027716,0
507,0,2658502.252210000064224,1138738.469000000040978,0
508,0,2659000.946490000002086,1139924.058720000088215,0
509,0,2659891.286710000131279,1138600.244909999892116,0
510,0,2659445.250339999794960,1138597.378659999929368,0
511,0,2658806.544850000180304,1139852.191339999902993,0
512,0,2659619.517669999971986,1138353.962180000031367,0
513,0,2659158.248569999821484,1139935.122579999966547,0
514,0,2661755.848850000184029,1139744.920039999997243,0
515,0,2658985.978209999855608,1137797.925989999901503,0
516,0,2658564.957010000012815,1138473.551650000037625,0
517,0,2658115.493189999833703,1137998.029589999932796,0
518,0,2657534.840909999795258,1139343.355340000009164,0
519,0,2657246.627720000222325,1139338.080409999936819,0
520,0,2657266.575749999843538,1139453.469989999895915,0
521,0,2660340.575780000071973,1140579.735619999933988,0
522,0,2658213.478409999981523,1138910.565480000106618,0
523,0,2658050.258499999996275,1139378.760190000059083,0
524,0,2659021.597269999794662,1138778.150369999930263,0
525,0,2659026.759449999779463,1139727.981129999971017,0
526,0,2658272.231869999784976,1137497.365029999986291,0
527,0,2660611.682659999933094,1139138.604469999903813,0
528,0,2660312.826609999872744,1139743.334160000085831,0
529,0,2660544.283700000029057,1140285.318320000078529,0
530,0,2658303.923309999983758,1139159.591900000115857,0
531,0,2656583.621910000219941,1139839.596790000097826,0
532,0,2660141.438190000131726,1139089.720840000081807,0
533,0,2659923.708730000071228,1138320.291029999963939,0
534,0,2660672.463370000012219,1140399.352750000078231,0
535,0,2660397.134240000043064,1140190.536439999938011,0
536,0,2657455.197310000192374,1139253.681570000015199,0
